@relation normspam
@attribute text string
@attribute @@class@@ {tanitimlar,birincil,guncellemeler,sosyal}
@data
'değerli blatform üyesi blatform hakkındaki son gelişmelerle ilgili olarak ekteki mektubumuzu sizinle paylaşmak istiyoruzsorularınız ve yorumlarınız için bize info@blatformio adresinden her zaman ulaşabilirsinizsaygılarımızla…blatform ekibi',tanitimlar
'yorumunuz diğer kullanıcılarımıza çok yardımcı oluyor tebrikler yayınınız kısa süre önce yeni bir aşamaya ulaştı  defadan fazla görüntülenen yayınınız çok sayıda kullanıcının ihtiyaç duyduğu bilgileri edinmesine yardımcı oluyor',guncellemeler
'sayın hüseyin şimşek numaralı siparişiniz hüseyi̇n şi̇mşek isimli alıcıya teslim edilmek üzere kargoya verilmiştirdilerseniz siparişlerim sayfasından siparişinizin durumunu görüntüleyebilir fatura bilgilerinizi güncelleyebilirsiniz ön bilgilendirme formu ve mesafeli satış sözleşmesinde de belirtildiği üzere alıcının adreste bulunmaması durumunda siparişiniz  kişilere teslim edilebilir',birincil
'ödemen i̇ade edildi kitapseccom web sitesinde   tarihinde gerçekleştirmiş olduğun  try tutarındaki işleminin iadesi iyzico tarafından başarıyla tamamlanmıştıri̇ade işlemleri kredi kartları ile yapılan ödemelerde  iş günü içerisinde banka kartları ile yapılan ödemelerde ise  iş günü içerisinde kart hesabına yansımaktadırt sorularınız mı var bize hemen ulaşın    destek@iyzicocom',birincil
'nagihan şi̇mşek çanakkale üniversitesi lisansüstü eğitim enstitüsü  i̇ş sağlığı ve güvenliği anabilim dalı  i̇ş sağlığı ve güvenliği  tezsiz  uzaktan eğitim başvurunuz tamamlanmıştır i̇lgili tarihlerde başvuru yaptığınız ekrandan sonuçlarını öğrenebilirsiniz lütfen bu epostaya cevap yazmayınız geri bildirim ve isteklerinizi ilgili birimin eposta hesabına gönderebilirsiniz',birincil
'mp has been sent anadolumasallarıantalya@gmailcom  öge toplam  mb ・  ocak  cuma tarihinde geçerliliği sona erecektir wetransferi kullandığınız için teşekkürler dosyalarınız indirilir indirilmez size bir onay epostası göndereceğizalıcılaranadolumasallarıantalya@gmailcomi̇ndirme bağlantısı httpswetltywpwuchlr  öge jpg  mbmp mb mesaj demre atatürk i̇lkokulu medine selen sarıca a sınıfı',birincil
'sevgili nagihan şi̇mşeki̇stanbul beykoz current web tools of ict adlı etkinliğe kaydolduğunuz için teşekkür ederizi̇steğinizigirişinizi değerlendirerek başvurunuzun durumu hakkında sizi en kısa zamanda eposta ile bilgilendireceğizsaygılarımızlaetwinning ekibi'tanitimlar
'pttavm si̇pari̇şi̇ni̇z alinmiştir merhabapttavmcomdan alışveriş yaptığınız için teşekkürler siparişiniz ilgili mağaza tarafından  ila  iş günü içerisinde ptt kargoya teslim edilecektirsiparişiniz ile ilgili tüm soru ve sorunlarınız için lütfen tıklayınız sizlere yardımcı olmaktan memnuniyet duyarızalışverişinizin detaylarını aşağıda sipariş özeti bölümünde bulabilirsinizsiparişiniz kargoya teslim edildiğinde sipariş geçmişi bölümünden ulaşabileceğiniz kargo barkodu ile sipariş geçmişi  detay  kargom nerede adresinden kargonuzu takip edebilirsinizsiparişiniz ile ilgili bilgileri sipariş geçmişi sayfasından öğrenebilirsinizgüzel günlerde kullanmanızı dilerizdevlet güvencesi ile kolay ve güvenli alışveriş pttavm si̇pari̇ş numarasi pttgnamrqk',birincil
'sayın nagi̇han şi̇mşek bu eposta earşiv fatura kapsamında tarafınıza kesilen ket nolu fatura için gönderilmiştir faturanızı aşağıdaki linkten görüntüleyebilir ve yazdırabilirsiniz fatura özetinizfaturayı düzenleyen  kukla toyzz ic ve dis ticaret ltdsti  fatura tarihi   evrak no  ket evrak tutarı   i̇yi çalışmalar'guncellemeler
'merhabaakiloyunlarishop mağazası sorunuza yanıt verdisoru original ürün müdür ürün equilibrio cevap merhabalar evet orijinal ürünn',tanitimlar
