@relation normspam
@attribute text string
@attribute @@class@@ {norm,,spam}
@data
'değerli blatform üyesi blatform hakkındaki son gelişmelerle ilgili olarak ekteki mektubumuzu sizinle paylaşmak istiyoruzsorularınız ve yorumlarınız için bize info@blatformio adresinden her zaman ulaşabilirsinizsaygılarımızla…blatform ekibi',norm
'yorumunuz diğer kullanıcılarımıza çok yardımcı oluyor tebrikler yayınınız kısa süre önce yeni bir aşamaya ulaştı  defadan fazla görüntülenen yayınınız çok sayıda kullanıcının ihtiyaç duyduğu bilgileri edinmesine yardımcı oluyor',norm
'sayın hüseyin şimşek numaralı siparişiniz hüseyi̇n şi̇mşek isimli alıcıya teslim edilmek üzere kargoya verilmiştirdilerseniz siparişlerim sayfasından siparişinizin durumunu görüntüleyebilir fatura bilgilerinizi güncelleyebilirsiniz ön bilgilendirme formu ve mesafeli satış sözleşmesinde de belirtildiği üzere alıcının adreste bulunmaması durumunda siparişiniz  kişilere teslim edilebilir',norm
'ödemen i̇ade edildi kitapseccom web sitesinde   tarihinde gerçekleştirmiş olduğun  try tutarındaki işleminin iadesi iyzico tarafından başarıyla tamamlanmıştıri̇ade işlemleri kredi kartları ile yapılan ödemelerde  iş günü içerisinde banka kartları ile yapılan ödemelerde ise  iş günü içerisinde kart hesabına yansımaktadırt sorularınız mı var bize hemen ulaşın    destek@iyzicocom',norm
'nagihan şi̇mşek çanakkale üniversitesi lisansüstü eğitim enstitüsü  i̇ş sağlığı ve güvenliği anabilim dalı  i̇ş sağlığı ve güvenliği  tezsiz  uzaktan eğitim başvurunuz tamamlanmıştır i̇lgili tarihlerde başvuru yaptığınız ekrandan sonuçlarını öğrenebilirsiniz lütfen bu epostaya cevap yazmayınız geri bildirim ve isteklerinizi ilgili birimin eposta hesabına gönderebilirsiniz',norm
'mp has been sent anadolumasallarıantalya@gmailcom  öge toplam  mb ・  ocak  cuma tarihinde geçerliliği sona erecektir wetransferi kullandığınız için teşekkürler dosyalarınız indirilir indirilmez size bir onay epostası göndereceğizalıcılaranadolumasallarıantalya@gmailcomi̇ndirme bağlantısı httpswetltywpwuchlr  öge jpg  mbmp mb mesaj demre atatürk i̇lkokulu medine selen sarıca a sınıfı',norm
'sevgili nagihan şi̇mşeki̇stanbul beykoz current web tools of ict adlı etkinliğe kaydolduğunuz için teşekkür ederizi̇steğinizigirişinizi değerlendirerek başvurunuzun durumu hakkında sizi en kısa zamanda eposta ile bilgilendireceğizsaygılarımızlaetwinning ekibi',norm
'pttavm si̇pari̇şi̇ni̇z alinmiştir merhabapttavmcomdan alışveriş yaptığınız için teşekkürler siparişiniz ilgili mağaza tarafından  ila  iş günü içerisinde ptt kargoya teslim edilecektirsiparişiniz ile ilgili tüm soru ve sorunlarınız için lütfen tıklayınız sizlere yardımcı olmaktan memnuniyet duyarızalışverişinizin detaylarını aşağıda sipariş özeti bölümünde bulabilirsinizsiparişiniz kargoya teslim edildiğinde sipariş geçmişi bölümünden ulaşabileceğiniz kargo barkodu ile sipariş geçmişi  detay  kargom nerede adresinden kargonuzu takip edebilirsinizsiparişiniz ile ilgili bilgileri sipariş geçmişi sayfasından öğrenebilirsinizgüzel günlerde kullanmanızı dilerizdevlet güvencesi ile kolay ve güvenli alışveriş pttavm si̇pari̇ş numarasi pttgnamrqk',norm
'sayın nagi̇han şi̇mşek bu eposta earşiv fatura kapsamında tarafınıza kesilen ket nolu fatura için gönderilmiştir faturanızı aşağıdaki linkten görüntüleyebilir ve yazdırabilirsiniz fatura özetinizfaturayı düzenleyen  kukla toyzz ic ve dis ticaret ltdsti  fatura tarihi   evrak no  ket evrak tutarı   i̇yi çalışmalar',norm
'merhabaakiloyunlarishop mağazası sorunuza yanıt verdisoru original ürün müdür ürün equilibrio cevap merhabalar evet orijinal ürünn',norm
'favori satıcınız için sonuçlarm erhaba hüseyin şimsekhalil i̇brahim sarıaslan adlı favori satıcı kaydınız için sonuçlar çarşi merkezde  dai̇re fiyatı      tl arama kriterlerinize uygun son  saat içinde yayınlanan ilanlar için tıklayınn n',norm
'son ödeme tarihit şubat thesap özeti borcut tl asgari ödeme tutarıt tl eposta iletişimlerinde yurt dışı servis sağlayıcılarının da kullanılması nedeniyle finansal bilgiler yurt dışına çıkmakta ve bilgilerin güvenliği açısından risk teşkil edebilmektedir bu nedenle bankacılık ürün ve hizmetlerine ilişkin finansal bilgilerinizi eposta ile almak yerine bankamızın world mobil yapı kredi mobil veya i̇nternet şubesinden kolay ve güvenli bir şekilde ulaşmanızı tavsiye ederizkredi kartı hesap özetiniz ile ilgili iletişim tercihlerinizi yapı kredi mobil veya i̇nternet şubesindeki mesajlar menüsünde bulunan eposta ayarı adımını takip ederek belirleyebilirsinizhesap özeti açıklamalarını görmek için tıklayınız',norm
'sayın h ş nolu kartınıza ait mart  ayı ekstresine ekli pdf dosyasından ulaşabilirsiniz dönem borcunuz ve son ödeme tarihiniz aşağıda belirtilmektedir',norm
'dear huseyin simsekwelcome you are now enrolled in the cisco networking academy course   bilgisayar programlama c eğitimi kursu if you already have a cisco networking academy account simply log in at httpswwwnetacadcom and go to the “im learning” tab to access your course if you need help with your password click the “forgot password” link on the “log in” menuif you are new to the cisco networking academy you should have already received a separate activation email from us click on the activation link in that email to start setting up your account once your account is set up you will be taken to the “im learning” tab to access your course if you cannot find your activation email then click “resend activation email” on the “log in” menu at httpswwwnetacadcomwe hope this course helps you learn what you need to know to do work youll lovesincerelycisco networking academy team httpswwwnetacadcom',norm
'  tarihinde yapmış olduğunuz proje konusu talebiniz danışmanınız doçdr emrah aydemi̇r tarafından değerlendirilmiştirdanışman onay durumukabul edildi danışman açıklaması danışman i̇şlem tarihi  ',norm
'sabi̇s  ders duyurusu sayın hüseyi̇n şi̇mşekdördüncü hafta okuma metni ve ders değerlendirmeleri merhabasunum dosyalarınızı yüklemeniz için ödevi online ödev olarak tanımladım ödev notlarınız sunum için hazırladığınız dosya ile verilecektir  sunum yapanlar yüklesin henüz yapmayanlar sunum öncesinde yüklerse iyi olursunum performansı ara sınav notunu oluşturacaktır ayrıca derse katılımdan alacağınız performans görevi notu oluşturdumfinal notunuz sene sonunda okunan makaleler üzerinden yapılacak sınavla belirlenecektirdördüncü hafta ödev künyesi ve dosyası ektedir makale sunumunu ahmet serdar çokluk gerçekleştirecektir oral b g  yeşi̇lkaya y  kri̇pto para i̇ki̇lemi̇ karapara aklama ve bi̇tcoi̇n süleyman demirel üniversitesi sosyal bilimler enstitüsü dergisi  kolay gelsineklenmiş dosyalardosya  çağla edi̇z',norm
'değerli kullanıcımızaşağıda belirtilen tarihte kütüphanemizin abone olduğu turcademy veri tabanı ile ilgili çevrim içi kullanıcı eğitimi düzenlenecektireğitimimize davetlisiniz • tarih   mart  çarşamba • saat   • katılım bağlantısı httpsinformascopelibcalcomevent • konuşmacı can çelik turcademy hakkında  türkçe akademik kitap online görüntüleme  uzaktan erişim kolay ve hızlı erişim  eğitim sonunda sertifika verilecektirsağlıklı ve iyi günler dileriz 😊n',norm
'kiosk versiyon güncelleme merhaba kioskta yapılan güncelleme işleminin ardından versiyon  olarak aynı dizine atılmıştır kontrollerinizi rica ederim i̇yi çalışmalar ismail aras yazılım geliştirme uzmanın',norm
'derslerimiz hkmerhaba arkadaslardersimizi yarin ve bundan sonraki her hafta bir aksilik olmadigi takdirde da baslatmayi planliyorum boylece benden sonraki derse yetismenizle ilgili problem olmayacagini umit ediyorumyarin görüşmek üzere n n',norm
'byart sistem kontrol notları aynı network üzerinde kamera sistemi yer alıyor kamera sisteminin ayrı switch ve network üzerinden geçmemesi gerekiyor sistemde kullanılan switch yönetilemez ve giriş seviyesi bir switch yönetilebilir  port switch gerekli hp arada kullanılan ufak ev tipi switchlerin sistemden çıkarılıp bilgisayarlara direkt olarak switchten bağlantı sağlanması önemli depo ve bina içinde kullanılan ap ler  ghz i destekliyor el terminali kullanımlarında  ghz daha uzun mesafe ve kuvvetli bağlantı için iyi olabilirsistemde kullanılan sql server expressücretsiz sürüm ve limitasyonlarına hızlı şekilde yaklaşılmış durumda job vs lerin de çalışması için sql server standard a geçilmesi gerekmektedirkarşı depoya kamera ve local network ayrı olacak şekilde wifi ile geçilebilir outdoor antenlerle bağlantı sağlanabilir bilgisayarlara giden network kablolarında sorun görüldü sorun yaşayan bilgisayarların bağlantıların  mbit olduğu tespit edildi can beye gerekli bilgi verildi cemal erden teknik servis departmani',norm
'merhabaödev ve vize notlarınız sunum performansınız ve hazırladığınız sunum içeriğinden verilecektir finalde ise her hafta işlediğimiz makalelerden sınav olacaktır makaleyi sunarken açıklayıcı veya destekleyici ilave kaynaklardan faydalanabilirsiniz ancak önceliğimiz makaleyi anlamak ve yorumlamak olmalıdır gelecek haftaki sunumu mücahit tandoğan ve cengiz yaman gerçekleştirecektirkolay gelsin künyegündüz m z  resul d a ş  nesnelerin interneti gelişimi bileşenleri ve uygulama alanları pamukkale üniversitesi mühendislik bilimleri dergisi  eklenmiş dosyalardosya ',norm
'bugunku ders hk merhaba arkadaslarbugun dersimizi de baslatacagizgorusmek uzere',norm
'sayın hüseyi̇n şi̇mşekgelecek haftaki sunum merhabagelecek hafta metni furkan yusuf ve hüseyin sunacak derse aktif katılmanız ve bunun için mikrofonları hazırlamanız metni okumanız beklenmektedirkolay gelsinmetnin künyesiaktan e  büyük veri uygulama alanları analitiği ve güvenlik boyutu bilgi yönetimi  eklenmiş dosyalardosya n',norm
'değerli kullanıcımız   bahar dönemi nde kütüphane olarak gerçekleştirmeyi planladığımız eğitim içeriğini ve katılım bağlantısınıaşağıda bulabililirsiniz tarih  şubat   çarşamba saat   katılım bağlantısı  httpsmeetgooglecomqjqqgdxswoauthuser=hl=trpli= eğitim i̇çeriği kütüphane web sayfası katalog tarama kütüphane hesabı kampüs dışı erişim veri tabanlarında kaynak arama ekitap i̇ndirme katılımcı sayısı  kişi ile sınırlıdıruygulamalı kullanıcı eğitimi takvimi httpskutuphanesakaryaedutrtricerikuygulamalikullaniciegitimtakvimisağlıklı ve iyi günler dileriz 😊n',norm
'sayın tuncay bey ilgili kodların doğru olanlarını belirlemenizi rica ederim bdg mnactt  r kaktüs r golf ars r kaya pamuklukkapak porselen demlik r çubuk  noprslntbk dml selamlar bu yukarıdaki stok kodlarının sayılarını kabul edemiyorum tarafıma kodları belirlenip verilsin bu kodlar gelene kadar yukarıdaki kodları  sisteme işlemeyeceğim  geri kalan eşleşmeyenleri sisteme açtım mükerrer kodlar sorumluluğumda değildirözellikle boşluklu türkçe karakterli stok kodu olamaz ya ilgili firmalardan stok kodlarını öğrenelim yada argümanda kullanılan stok kodlarını bildirelim',norm
'i̇lk ders okuma makalesi merhabai̇lk dersin okuma makalesi ektedirders soru cevaplarla interaktif işleneceğinden mikrofonlarınızın takılı olması gerekmektedir kolay gelsineklenmiş dosyalardosya n',norm
'merhaba proje dersine yazılan öğrenciler proje konusunu danışman ile birlikte belirleyip akademik takvimde belirtilen tarihe kadar enstitüye bildirmesi gerekmektedir danışmanınızın mail adresine sabis rehberden ulaşabilirsinizproje konusunu enstitüye iletmek için aşağıdaki linke tıklayarak proje sekmesini seçip ilgili duyuruyu okuyunuz httpsgsbsakaryaedutrtriceriktezprojesureciveyazimkilavuzu bu maile dönüş yapmayınız soru ve talepleriniz için i̇şletme enstitüsü web sayfasında bulunan iletişim sekmesini kullanabilirsiniz i̇yi günlern',norm
'merhaba hüseyin bey  ocak  tarihlerinde yapılacak final sınavları cumartesi  oturum saat  arası cumartesi  oturum saat  arası pazar  oturum saat  arası pazar  oturum saat  arasında yapılacaktıryani herhangi bir oturumda bir öğrenci en fazla  dersten final sınavına katılabilir bu sebeple derslerin çakışması mümkün değildir yani aynı gün ve aynı oturumda aldığınız  dersin sorusu size verilecek ve size tanınan süre içinde cevaplandıracaksınızi̇yi günler n',norm
'ürün satıcıya teslim edildi i̇ade koşullarını kontrol edip en geç  iş günü içinde süreç sonundaki kararı size bildireceğizsi̇pari̇ş numarasi    talep numarasi   n',norm
'sepet hatırlatma sepetinizdeki ürünleri hatırlatmak i̇steriz değerli müşterimizsepetinizde unuttuğunuz ürünler satın almanız için sizi bekliyor aşağıda bulunan “siparişi tamamla” butonu ile hemen sepetinize geri dönebilir ve alışverişinizi tamamlayabilirsinizkeyifli alışverişler dilerizn',norm
